rank,title,price,store,gpu,ram,storage,cpu,screen,link
1,"REFURBISHED Apple 2021 MacBook Pro with Apple M1 Max Chip, 16"", 32GB, 1TB, Space Gray","$1,399..99",Newegg,,,,,,https://www.newegg.com/apple-lt-apmacpro16-m1-32-1ssd-16-0-no-32gb-memory-1-tb-ssd-black/p/2SN-0001-03C97
2,"REFURBISHED Apple A Grade Macbook Pro 16-inch (Retina XDR, 16-GPU, Space Gray, 1yr Warranty) 3.2Ghz 10-Core M1 Pro (2021) MK183LL/A 512GB Flash 16GB Memory 3456x2234 Display Mac OS Power Adapter",$758..97,Newegg,,,,,18-inch,https://www.newegg.com/apple-macbook-pro-16-0-retina-display-non-touch-screen-3-20ghz-16gb-memory-512-gb-ssd-space-gray/p/2SN-0001-03191
3,"REFURBISHED Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16in, 32GB, 1TB) Silver","$1,099..99",Newegg,,,,,,https://www.newegg.com/apple-lt-apmacpro16-m1-32-1ssd-s1-16-0-no-32gb-memory-1-tb-ssd-silver/p/2SN-0001-03RZ3
4,"REFURBISHED 2022 Apple MacBook Pro 13.3"" Laptop (Apple M2 8-Core, 8GB RAM, 256GB SSD, 10-Core GPU) Space Gray",$642..97,Newegg,,,6gb ssd,,,https://www.newegg.com/apple-macbook-pro-13-3-non-touch-screen-8gb-memory-256-gb-ssd-space-gray/p/2SN-0001-02KZ7
5,"REFURBISHED 2020 Apple MacBook Pro 13.3"" True Tone (Touch Bar, 10th Gen Intel Core i5 2.0GHz, 16GB RAM, 512GB SSD, Integrated Iris Plus) Space Gray - Grade B",$479..00,Newegg,,16gb,2gb ssd,,,https://www.newegg.com/apple-macbook-pro-13-3-non-touch-screen-2-00ghz-16gb-memory-512-gb-ssd-space-gray/p/2SN-0001-020R6
6,"REFURBISHED Apple MacBook Pro with 2.0GHz Intel i5 (13"", 16GB, 512GB SSD) Space Gray",$429..99,Newegg,,,2gb ssd,,,https://www.newegg.com/apple-lt-apmacpro13-i5-g10-16-512-13-3-no-16gb-memory-512-gb-ssd-gray/p/2SN-0001-03BT3
7,"REFURBISHED 2019 Apple MacBook Pro with 2.3GHz Intel Core i9 (16-inch, 16GB RAM, 1TB Storage) Space Gray MVVM2LL/A",$623..99,Newegg,,16gb,,i9,,https://www.newegg.com/apple-lt-apmacpro16-i9-g9-16-1ssd-16-0-no-16gb-memory-1-tb-ssd-black/p/2SN-0001-03B44
8,"REFURBISHED Apple 16"" MacBook Pro, Late 2019 Intel Core i7 32GB 1TB macOS, Silver",$679..99,Newegg,,,,i7,,https://www.newegg.com/apple-lt-apmacpro16-i7-g9-32-1ssd-s-16-no-32gb-memory-1-tb-ssd-silver/p/2SN-0001-03BD2
9,"REFURBISHED Apple MacBook Pro With Touch Bar Intel Core i5, 13"", 16GB, 256GB Space Gray",$314..97,Newegg,,,,,,https://www.newegg.com/apple-mr9q2ll-a-r-13-3-non-touch-screen-16gb-memory-256-gb-ssd-black/p/2SN-0001-037A9
10,"REFURBISHED Mid 2019 Apple MacBook Pro w 2.4GHz Intel i5 (13.3"", 16GB 256GB) Sp. Gray",$369..99,Newegg,,,,,,https://www.newegg.com/apple-mv962ll-a-r-13-3-non-touch-screen-16gb-memory-256-gb-ssd-black/p/2SN-0001-037A7
